snapshot_time,trade_time,direction,price,volume
2026-06-15 08:13:19,2026-06-15T08:13:12Z,buy,10740000000.0000000000000000,0.0000930000000000
2026-06-15 08:13:19,2026-06-15T08:13:12Z,buy,10736430614.0000000000000000,0.0031130000000000
2026-06-15 08:13:19,2026-06-15T08:13:12Z,buy,10736430613.0000000000000000,0.0002890000000000
2026-06-15 08:13:19,2026-06-15T08:13:12Z,buy,10730000000.0000000000000000,0.0000460000000000
2026-06-15 08:13:19,2026-06-15T08:13:12Z,buy,10730000000.0000000000000000,0.0036810000000000
2026-06-15 08:13:19,2026-06-15T08:13:12Z,buy,10727469486.0000000000000000,0.0005990000000000
2026-06-15 08:13:19,2026-06-15T08:13:12Z,buy,10720000845.0000000000000000,0.0000700000000000
2026-06-15 08:13:19,2026-06-15T08:13:12Z,buy,10720000000.0000000000000000,0.0000930000000000
2026-06-15 08:13:19,2026-06-15T08:13:12Z,buy,10710000000.0000000000000000,0.0000930000000000
2026-06-15 08:13:19,2026-06-15T08:13:12Z,buy,10707023606.0000000000000000,0.0173750000000000
2026-06-15 08:13:19,2026-06-15T08:13:11Z,buy,10753627028.0000000000000000,0.0003470000000000
2026-06-15 08:13:19,2026-06-15T08:13:11Z,buy,10753627028.0000000000000000,0.0031300000000000
2026-06-15 08:13:19,2026-06-15T08:13:11Z,buy,10750000001.0000000000000000,0.0018420000000000
2026-06-15 08:13:29,2026-06-15T08:13:23Z,sell,10763355759.0000000000000000,0.0009160000000000
2026-06-15 08:13:49,2026-06-15T08:13:50Z,sell,10756482463.0000000000000000,0.0002700000000000
2026-06-15 08:15:29,2026-06-15T08:15:23Z,sell,10754686785.0000000000000000,0.0000010000000000
2026-06-15 08:15:39,2026-06-15T08:15:34Z,sell,10754083358.0000000000000000,0.0000400000000000
2026-06-15 08:16:09,2026-06-15T08:16:05Z,sell,10751463757.0000000000000000,0.0001280000000000
2026-06-15 08:16:59,2026-06-15T08:16:56Z,buy,10723480990.0000000000000000,0.0001280000000000
2026-06-15 08:17:39,2026-06-15T08:17:33Z,sell,10739999932.0000000000000000,0.0009500000000000
2026-06-15 08:19:59,2026-06-15T08:19:56Z,sell,10732821970.0000000000000000,0.0000130000000000
2026-06-15 08:20:09,2026-06-15T08:20:07Z,sell,10732821959.0000000000000000,0.0021700000000000
2026-06-15 08:20:29,2026-06-15T08:20:27Z,sell,10732822014.0000000000000000,0.0011670000000000
2026-06-15 08:20:29,2026-06-15T08:20:26Z,sell,10732822004.0000000000000000,0.0082610000000000
2026-06-15 08:20:49,2026-06-15T08:20:49Z,sell,10732821959.0000000000000000,0.0004500000000000
2026-06-15 08:20:59,2026-06-15T08:20:59Z,sell,10732821958.0000000000000000,0.0000010000000000
2026-06-15 08:21:19,2026-06-15T08:21:13Z,sell,10732821959.0000000000000000,0.0029810000000000
2026-06-15 08:21:19,2026-06-15T08:21:13Z,buy,10725578593.0000000000000000,0.0000830000000000
2026-06-15 08:21:19,2026-06-15T08:21:12Z,sell,10732821958.0000000000000000,0.0020000000000000
2026-06-15 08:21:29,2026-06-15T08:21:28Z,buy,10725578604.0000000000000000,0.0028990000000000
2026-06-15 08:21:39,2026-06-15T08:21:31Z,sell,10725578604.0000000000000000,0.0017620000000000
2026-06-15 08:21:39,2026-06-15T08:21:31Z,sell,10725578604.0000000000000000,0.0004400000000000
2026-06-15 08:21:49,2026-06-15T08:21:44Z,sell,10732821959.0000000000000000,0.0001780000000000
2026-06-15 08:22:09,2026-06-15T08:22:04Z,sell,10732821959.0000000000000000,0.0001290000000000
2026-06-15 08:22:09,2026-06-15T08:22:04Z,sell,10739999931.0000000000000000,0.0004860000000000
2026-06-15 08:22:49,2026-06-15T08:22:49Z,sell,10739999932.0000000000000000,0.0010720000000000
2026-06-15 08:23:39,2026-06-15T08:23:40Z,buy,10739999943.0000000000000000,0.0019910000000000
2026-06-15 08:23:39,2026-06-15T08:23:40Z,buy,10739999942.0000000000000000,0.0054580000000000
2026-06-15 08:23:49,2026-06-15T08:23:50Z,buy,10762919676.0000000000000000,0.0003570000000000
2026-06-15 08:23:59,2026-06-15T08:24:00Z,buy,10739999965.0000000000000000,0.0004640000000000
2026-06-15 08:23:59,2026-06-15T08:23:54Z,sell,10762919666.0000000000000000,0.0054550000000000
2026-06-15 08:23:59,2026-06-15T08:23:54Z,sell,10762919676.0000000000000000,0.0020140000000000
2026-06-15 08:23:59,2026-06-15T08:23:54Z,buy,10739999965.0000000000000000,0.0010500000000000
2026-06-15 08:25:19,2026-06-15T08:25:18Z,buy,10762919689.0000000000000000,0.0000090000000000
2026-06-15 08:26:09,2026-06-15T08:26:03Z,buy,10732821960.0000000000000000,0.0009420000000000
2026-06-15 08:26:39,2026-06-15T08:26:40Z,sell,10745858041.0000000000000000,0.0002740000000000
2026-06-15 08:27:39,2026-06-15T08:27:39Z,buy,10747757782.0000000000000000,0.0007510000000000
2026-06-15 08:28:09,2026-06-15T08:28:11Z,buy,10745858041.0000000000000000,0.0000490000000000
2026-06-15 08:28:09,2026-06-15T08:28:07Z,buy,10747757782.0000000000000000,0.0030920000000000
2026-06-15 08:28:19,2026-06-15T08:28:15Z,sell,10743451569.0000000000000000,0.0000920000000000
2026-06-15 08:28:39,2026-06-15T08:28:37Z,sell,10740040201.0000000000000000,0.0000070000000000
2026-06-15 08:28:39,2026-06-15T08:28:33Z,sell,10740040201.0000000000000000,0.0092990000000000
2026-06-15 08:29:09,2026-06-15T08:29:10Z,buy,10738914198.0000000000000000,0.0000930000000000
2026-06-15 08:29:09,2026-06-15T08:29:04Z,sell,10738914198.0000000000000000,0.0004600000000000
2026-06-15 08:29:29,2026-06-15T08:29:23Z,sell,10735000000.0000000000000000,0.0000930000000000
2026-06-15 08:29:39,2026-06-15T08:29:32Z,sell,10735000000.0000000000000000,0.0000090000000000
